EntrezGene ID	GO ID
100	GO:0006144
100	GO:0006154
100	GO:0006154
100	GO:0006157
100	GO:0007155
100	GO:0007568
100	GO:0008270
100	GO:0008270
100	GO:0009117
100	GO:0009168
100	GO:0009897
100	GO:0009986
100	GO:0010460
100	GO:0016020
100	GO:0016787
100	GO:0030054
100	GO:0030890
100	GO:0031410
100	GO:0032261
100	GO:0032839
100	GO:0033089
100	GO:0033632
100	GO:0042110
100	GO:0042542
100	GO:0043025
100	GO:0043066
100	GO:0043101
100	GO:0045187
100	GO:0045987
100	GO:0046061
100	GO:0046101
100	GO:0046103
100	GO:0046103
100	GO:0046111
100	GO:0046638
100	GO:0046872
100	GO:0048286
100	GO:0048541
100	GO:0048566
100	GO:0050728
100	GO:0050850
100	GO:0050862
100	GO:0055086
100	GO:0060169
100	GO:0060205
100	GO:0060407
100	GO:0070244
100	GO:0070256
101	GO:0000902
101	GO:0001525
101	GO:0002102
101	GO:0002523
101	GO:0002675
101	GO:0002687
101	GO:0002693
101	GO:0004222
101	GO:0005509
101	GO:0005515
101	GO:0005737
101	GO:0005886
101	GO:0005887
101	GO:0006508
101	GO:0006954
101	GO:0008233
101	GO:0008237
101	GO:0008270
101	GO:0009986
101	GO:0010954
101	GO:0022407
101	GO:0030335
101	GO:0032010
101	GO:0032127
101	GO:0033089
101	GO:0035419
101	GO:0042581
101	GO:0043524
101	GO:0043621
101	GO:0045780
101	GO:0045785
101	GO:0048247
101	GO:0050714
101	GO:0050839
101	GO:0051044
101	GO:0051092
101	GO:0051897
101	GO:0070245
101	GO:0070820
101	GO:0071065
101	GO:0071133
101	GO:0071456
101	GO:2000309
102	GO:0001701
102	GO:0004175
102	GO:0004222
102	GO:0005102
102	GO:0005178
102	GO:0005515
102	GO:0005634
102	GO:0005737
102	GO:0005794
102	GO:0005798
102	GO:0005886
102	GO:0006468
102	GO:0006508
102	GO:0006509
102	GO:0006509
102	GO:0007162
102	GO:0007162
102	GO:0007173
102	GO:0007219
102	GO:0007219
102	GO:0007220
102	GO:0007229
102	GO:0007267
102	GO:0008233
102	GO:0008237
102	GO:0008237
102	GO:0008237
102	GO:0008270
102	GO:0008284
102	GO:0009986
102	GO:0010820
102	GO:0012505
102	GO:0014069
102	GO:0016021
102	GO:0017124
102	GO:0019901
102	GO:0030307
102	GO:0030335
102	GO:0034612
102	GO:0042117
102	GO:0042803
102	GO:0046872
102	GO:0051088
102	GO:0051089
103	GO:0003677
103	GO:0003725
103	GO:0003726
103	GO:0003726
103	GO:0003726
103	GO:0005622
103	GO:0005634
103	GO:0005634
103	GO:0005654
103	GO:0005730
103	GO:0005737
103	GO:0006382
103	GO:0006397
103	GO:0016553
103	GO:0016556
103	GO:0016787
103	GO:0019221
103	GO:0031047
103	GO:0046872
103	GO:0060337
104	GO:0003723
104	GO:0003725
104	GO:0003725
104	GO:0003726
104	GO:0003726
104	GO:0003729
104	GO:0005622
104	GO:0005634
104	GO:0005654
104	GO:0006382
104	GO:0006396
104	GO:0006397
104	GO:0016553
104	GO:0016556
104	GO:0016787
104	GO:0046872
105	GO:0003725
105	GO:0003727
105	GO:0004000
105	GO:0005622
105	GO:0005634
105	GO:0005730
105	GO:0005737
105	GO:0005739
105	GO:0006397
105	GO:0016787
105	GO:0046872
107	GO:0000166
107	GO:0004016
107	GO:0005516
107	GO:0005524
107	GO:0005886
107	GO:0005886
107	GO:0005886
107	GO:0006112
107	GO:0006171
107	GO:0006171
107	GO:0006833
107	GO:0007189
107	GO:0007193
107	GO:0007202
107	GO:0007268
107	GO:0007409
107	GO:0007616
107	GO:0008294
107	GO:0016021
107	GO:0034199
107	GO:0035556
107	GO:0046872
107	GO:0048011
107	GO:0055085
107	GO:0071377
108	GO:0000166
108	GO:0004016
108	GO:0005524
108	GO:0005624
108	GO:0005737
108	GO:0005886
108	GO:0005886
108	GO:0005886
108	GO:0006112
108	GO:0006171
108	GO:0006833
108	GO:0007189
108	GO:0007193
108	GO:0007202
108	GO:0007268
108	GO:0008294
108	GO:0016020
108	GO:0016021
108	GO:0030425
108	GO:0031683
108	GO:0034199
108	GO:0035556
108	GO:0043234
108	GO:0046872
108	GO:0048011
108	GO:0055085
108	GO:0071377
109	GO:0000166
109	GO:0004016
109	GO:0005516
109	GO:0005524
109	GO:0005624
109	GO:0005634
109	GO:0005737
109	GO:0005886
109	GO:0005886
109	GO:0005886
109	GO:0005887
109	GO:0006112
109	GO:0006171
109	GO:0006171
109	GO:0006833
109	GO:0007143
109	GO:0007165
109	GO:0007189
109	GO:0007193
109	GO:0007202
109	GO:0007268
109	GO:0007608
109	GO:0008294
109	GO:0034199
109	GO:0035556
109	GO:0045121
109	GO:0046872
109	GO:0048011
109	GO:0050896
109	GO:0055085
109	GO:0071377
111	GO:0000166
111	GO:0001973
111	GO:0004016
111	GO:0005524
111	GO:0005886
111	GO:0005886
111	GO:0006112
111	GO:0006833
111	GO:0007189
111	GO:0007191
111	GO:0007193
111	GO:0007195
111	GO:0007202
111	GO:0007268
111	GO:0007626
111	GO:0016021
111	GO:0034199
111	GO:0035556
111	GO:0046872
111	GO:0048011
