ID	SystemCode	MAPP
51422	L	AMPK signaling:WP1403
7157	L	AMPK signaling:WP1403
208	L	AMPK signaling:WP1403
51094	L	AMPK signaling:WP1403
55437	L	AMPK signaling:WP1403
29904	L	AMPK signaling:WP1403
126129	L	AMPK signaling:WP1403
6198	L	AMPK signaling:WP1403
6199	L	AMPK signaling:WP1403
3156	L	AMPK signaling:WP1403
3948	L	Glycolysis and Gluconeogenesis:WP534
8050	L	Glycolysis and Gluconeogenesis:WP534
3945	L	Glycolysis and Gluconeogenesis:WP534
3101	L	Glycolysis and Gluconeogenesis:WP534
8789	L	Glycolysis and Gluconeogenesis:WP534
2597	L	Glycolysis and Gluconeogenesis:WP534
5213	L	Glycolysis and Gluconeogenesis:WP534
5211	L	Glycolysis and Gluconeogenesis:WP534
230	L	Glycolysis and Gluconeogenesis:WP534
2806	L	Glycolysis and Gluconeogenesis:WP534
2821	L	Glycolysis and Gluconeogenesis:WP534
2805	L	Glycolysis and Gluconeogenesis:WP534
6518	L	Glycolysis and Gluconeogenesis:WP534
1738	L	Glycolysis and Gluconeogenesis:WP534
2203	L	Glycolysis and Gluconeogenesis:WP534
5230	L	Glycolysis and Gluconeogenesis:WP534
5091	L	Glycolysis and Gluconeogenesis:WP534
5232	L	Glycolysis and Gluconeogenesis:WP534
6513	L	Glycolysis and Gluconeogenesis:WP534
6514	L	Glycolysis and Gluconeogenesis:WP534
6515	L	Glycolysis and Gluconeogenesis:WP534
1737	L	Glycolysis and Gluconeogenesis:WP534
6517	L	Glycolysis and Gluconeogenesis:WP534
2538	L	Glycolysis and Gluconeogenesis:WP534
5315	L	Glycolysis and Gluconeogenesis:WP534
5160	L	Glycolysis and Gluconeogenesis:WP534
5161	L	Glycolysis and Gluconeogenesis:WP534
5162	L	Glycolysis and Gluconeogenesis:WP534
3939	L	Glycolysis and Gluconeogenesis:WP534
7167	L	Glycolysis and Gluconeogenesis:WP534
26330	L	Glycolysis and Gluconeogenesis:WP534
2645	L	Glycolysis and Gluconeogenesis:WP534
4190	L	Glycolysis and Gluconeogenesis:WP534
4191	L	Glycolysis and Gluconeogenesis:WP534
229	L	Glycolysis and Gluconeogenesis:WP534
226	L	Glycolysis and Gluconeogenesis:WP534
5105	L	Glycolysis and Gluconeogenesis:WP534
5223	L	Glycolysis and Gluconeogenesis:WP534
5214	L	Glycolysis and Gluconeogenesis:WP534
5224	L	Glycolysis and Gluconeogenesis:WP534
5313	L	Glycolysis and Gluconeogenesis:WP534
2026	L	Glycolysis and Gluconeogenesis:WP534
2027	L	Glycolysis and Gluconeogenesis:WP534
2023	L	Glycolysis and Gluconeogenesis:WP534
92483	L	Glycolysis and Gluconeogenesis:WP534
3098	L	Glycolysis and Gluconeogenesis:WP534
3099	L	Glycolysis and Gluconeogenesis:WP534
3716	L	IL-9 Signaling Pathway:WP22
5295	L	IL-9 Signaling Pathway:WP22
3718	L	IL-9 Signaling Pathway:WP22
5605	L	IL-9 Signaling Pathway:WP22
5604	L	IL-9 Signaling Pathway:WP22
3578	L	IL-9 Signaling Pathway:WP22
2885	L	IL-9 Signaling Pathway:WP22
5781	L	IL-9 Signaling Pathway:WP22
7415	L	IL-9 Signaling Pathway:WP22
3581	L	IL-9 Signaling Pathway:WP22
3667	L	IL-9 Signaling Pathway:WP22
10524	L	IL-9 Signaling Pathway:WP22
207	L	IL-9 Signaling Pathway:WP22
7297	L	IL-9 Signaling Pathway:WP22
9021	L	IL-9 Signaling Pathway:WP22
3561	L	IL-9 Signaling Pathway:WP22
5595	L	IL-9 Signaling Pathway:WP22
5594	L	IL-9 Signaling Pathway:WP22
6774	L	IL-9 Signaling Pathway:WP22
6776	L	IL-9 Signaling Pathway:WP22
6777	L	IL-9 Signaling Pathway:WP22
6464	L	IL-9 Signaling Pathway:WP22
6772	L	IL-9 Signaling Pathway:WP22
8660	L	IL-9 Signaling Pathway:WP22
9260	L	EBV LMP1 signaling:WP262
1147	L	EBV LMP1 signaling:WP262
3320	L	EBV LMP1 signaling:WP262
3654	L	EBV LMP1 signaling:WP262
3456	L	EBV LMP1 signaling:WP262
3551	L	EBV LMP1 signaling:WP262
3576	L	EBV LMP1 signaling:WP262
4791	L	EBV LMP1 signaling:WP262
8717	L	EBV LMP1 signaling:WP262
6364	L	EBV LMP1 signaling:WP262
4215	L	EBV LMP1 signaling:WP262
8517	L	EBV LMP1 signaling:WP262
6885	L	EBV LMP1 signaling:WP262
7124	L	EBV LMP1 signaling:WP262
4790	L	EBV LMP1 signaling:WP262
9020	L	EBV LMP1 signaling:WP262
6352	L	EBV LMP1 signaling:WP262
5594	L	EBV LMP1 signaling:WP262
5599	L	EBV LMP1 signaling:WP262
7189	L	EBV LMP1 signaling:WP262
5970	L	EBV LMP1 signaling:WP262
7185	L	EBV LMP1 signaling:WP262
54657	L	Nicotine metabolism:WP1600
1555	L	Nicotine metabolism:WP1600
54600	L	Nicotine metabolism:WP1600
2328	L	Nicotine metabolism:WP1600
316	L	Nicotine metabolism:WP1600
1548	L	Nicotine metabolism:WP1600
189	L	Alanine and aspartate metabolism:WP106
2875	L	Alanine and aspartate metabolism:WP106
443	L	Alanine and aspartate metabolism:WP106
5091	L	Alanine and aspartate metabolism:WP106
1615	L	Alanine and aspartate metabolism:WP106
2572	L	Alanine and aspartate metabolism:WP106
445	L	Alanine and aspartate metabolism:WP106
2571	L	Alanine and aspartate metabolism:WP106
18	L	Alanine and aspartate metabolism:WP106
435	L	Alanine and aspartate metabolism:WP106
2806	L	Alanine and aspartate metabolism:WP106
2805	L	Alanine and aspartate metabolism:WP106
875	L	Folic Acid Network:WP176
9536	L	Folic Acid Network:WP176
5740	L	Folic Acid Network:WP176
8564	L	Folic Acid Network:WP176
114112	L	Folic Acid Network:WP176
6947	L	Folic Acid Network:WP176
7295	L	Folic Acid Network:WP176
7498	L	Folic Acid Network:WP176
58515	L	Folic Acid Network:WP176
6415	L	Folic Acid Network:WP176
4513	L	Folic Acid Network:WP176
